,#1 String,#2 String
380,A dog is fetching a stick out of very clear water.,A dog is fetching a stick out of very clear water.
381,A dog in the water carries a stick in his mouth.,A dog carries a stick in his mouth.
382,Two children are running down a sidewalk dressed in costumes.,Two kids are running.
383,1 little boy wearing a pirate costume following closely behind a little girl wearing a blue dress carrying a orange pumpkin bucket and walking down the sidewalk.,Boy in costume followed by a girl in costume.
384,A little boy in a pirate costume is running behind a little girl in a princess costume carrying an orange pumpkin along the sidewalk.,Two kids wearing costumes are outside.
385,A man with a gray shirt holds a young infant in his hands.,A man is wearing a shirt.
386,"Two girls, each in a dress walking together.",Two Girls are doing exercise.
387,A group of people are sitting around a table under a blue sunshade.,people sit around table
388,People in line for plates of rice.,People are waiting to eat.
389,People sitting down to eat.,People are about to eat.
390,Several men sit outside on brick ledges built around tall trees.,Some men are sitting outdoors.
391,Workers are eating a meal while one man sits on a pile of plywood.,Workers are resting during a meal break.
392,Workers are taking a break during midday.,Workers are on break.
393,Workers are sitting next to a work zone eating food.,the workers are waiting for next work
394,Biker riding dirt bike on dirt track,Human rides two wheeled vehicle.
395,A motorcycle racer is in action at the track.,The racer is driving.
396,A blond woman with her hair up is taking off a white sweatshirt.,A woman is blonde
397,A person is a red hat and winter jacket is looking into the distance.,The person stares off into the distance.
398,A man riding a dirt bike,A man is outside.
399,"A man is sitting with his head facing down, while other people are looking in his direction.",The man is being stared at.
400,Small blond-haired girl drinking a glass of juice.,A girl is holding a glass.
401,A person in a red coat and a running black and brown dog.,A person in a red dress is running behind a black animal.
402,a woman in a red jacket watches as a black and brown dog runs away from her in woodland clearing.,A woman is wearing a red jacket
403,"Outside by the trees, a woman wearing jeans and red jacket throws something for a German shepherd to chase.",A woman throws something for a dog.
404,A dog is preparing to run away from a person interacting with it.,A dog is nearby a person
405,A woman in a black and orange jacket throws a stick for a brown and black dog to fetch.,A woman is interacting with a dog.
406,"Two men trying to build something together, while having fun.",Two men are laughing and enjoying themselves.
407,Three people are sitting on a bench.,There are people sitting down.
408,Two women and one man sit on a bench.,The women and the man are on a bench.
409,A man and two women sitting on a bench.,A few people share a bench.
410,A man and two women in black jackets holding umbrellas sit on a long wooden bench.,People are on a bench
411,man in red canada shirt standing with three men in army uniform,Man standing with three men in army uniform
412,Skydivers in formation.,People are skydiving.
413,A woman checks her purse while at a outside cafe.,A person looks in her purse at a restaurant.
414,The cowboy waves to the rodeo crowd.,The cowboy waved to the crowd.
415,A woman is sitting at an outdoor dining table.,A person is sitting down.
416,Lady wearing a yellow top is sitting on a chair,A woman with a yellow to sits.
417,a child is pushing another kid in a wheeler dressed in a red top and wearing a cap.,Children enjoy playing together.
418,A cowboy is riding a bucking bull in a rodeo arena.,A cowboy rides a bull at a rodeo.
419,A blond child is pulling a wagon with a little blond boy in it.,A child is pulling a toy wagon.
420,A man wearing a tan coat signs papers for another man wearing a blue coat.,"One man writes on papers, while another man stands by."
421,A groom and a bride are standing on the grass with his hand on her waist.,A groom and bride are standing outside.
422,A man is singing into a microphone.,A man sings a song.
423,a girl wearing a blue and pink swimsuit is throwing stones into a lake.,girl throws stones
424,"A man and a woman being intimate, with their legs in the water.",a man and woman are getting intimate
425,A group of people stand on a grassy field.,People are standing on a grassy field
426,Men in uniform work together.,Uniformed men work.
427,An elderly woman places carrots into a casserole.,An elderly woman puts carrots into a casserole
428,A man in a gray vehicle feeding sheep.,The man is outside.
429,"Three men are grouped around the back of a car with its tailgate out, two of the men clothed in yellow uniforms and one in blue.",Three men are grouped around the back of a car.
430,"Three men, two wearing yellow suits, are looking in the back of a car.",Three men looking at a car.
431,Emergency personnel looking into the back of a car.,People are looking in a car.
432,Some firefighters check a vehicle.,Firefighters are checking a car.
433,A man in a kitchen is frying breaded food in a cast iron pan.,A man cooks.
434,A woman in colorful garb with her back to the camera and cloth on her hear.,A woman has her back to the camera.
435,A woman in colorful native attire featuring a blue shirt with a colorful design displays her dark hair braided with red ribbons.,A woman is dressed stylishly in native garb.
436,Oddly dressed man walking down the street.,An oddly dressed man walking.
437,A man in ruffles pushes a stroller through a park.,The man is pushing a stroller.
438,An oddly dressed man pushing a stroller down a sidewalk in a park.,A man wearing weird clothes is walking through a park.
439,A smiling man cooks something delicious.,The man is cooking
440,a young man wearing a backpack and sunglasses is walking towards a shopping area.,A man walks near a store
441,A young man wearing a backpack and dark glasses approaches the brick building where there is a bit of graffiti on the wall.,The young man has glasses on his face.
442,A brown dog running with two white and brown dogs on the seashore with crashing waves behind them.,The dogs were outdoors running along the shore
443,A young man in blue sunglasses walking in front of a red brick building.,Man in blue glasses walking pass a building
444,A dog jumps to catch a toy in the snow.,An animal is jumping in a place that is not hot.
445,Black dog jumping into the air to catch a toy in the snow.,The dog is in the snow.
446,A black dog in snow is jumping off the ground to catch a stick.,A dog is catching a stick.
447,A person is hanging up pictures of women with a few onlookers watching surrounded by bikes.,There are people watching another person hang up pictures.
448,"Five men, one wearing a white shirt standing on something, hanging up a picture of a child.",Men are hanging something on the wall.
449,There are four Eastern guys working on and hanging pictures of humans.,The men are working.
450,A man in a white shirt hangs a painting in a run down store while other men watch.,Men are indoors.
451,"Men are playing soccer, the one in front is about to kick the ball.",The guys are playing a game.
452,A man is putting up a poster in front of a shop.,A man is decorating a shop.
453,The Arsenal football club warms-up on the soccer field as a few fans watch.,A football/soccer club during warm ups.
454,Soccer players warm up by kicking the soccer ball around while the crowd waits.,The crowd looked on while the players prepared themselves.
455,People sit and relax next to a pool in a plaza.,People lounge about a pool.
456,"In a bowling alley, a man holding a green bowling ball looks ahead at the pins that he must knock down.",A man is bowling.
457,A man wearing blue jeans and red bowling shoes stands in a bowling alley lane with a green ball in his hand.,A man stands in a bowling alley lane.
458,"A guy stands with a green bowling ball in his hand, and looks down the bowling lane.",A man plays bowling.
459,A man holding a green bowling ball stands by the ball return machine in a bowling alley.,A person holding a green bowling ball stands by the ball return machine in a bowling alley.
460,A man is standing up holding a green bowling ball with his right hand.,A man is bowling.
461,A group of people sitting at a table outside talking.,A group sits outside while talking.
462,A group of men and women are having a discussion in a restaurant.,a group of men and women converse
463,A group of adults is having a discussion at a table under a tent.,People are having a discussion.
464,A group of people sitting around a picnic table.,The people are near the table.
465,"A group of people gathers on the grass in a backyard with tents, tables, and chairs set up.",A group of people gathering on the grass.
466,One soccer team is playing against another.,People are playing a sport.
467,A black dog swimming in water near rocks.,A dog is outside playing in the water.
468,the three boys are all holding onto a flotation device in the water.,Three boys are in a body of water.
469,A soccer game where the team in yellow is attempting to advance past the team in white towards the goalie wearing a black top and blue shorts.,There is a soccer game with a team in yellow.
470,A group of people are playing soccer and two players from opposing teams are battling for the ball.,A soccer game.
471,"A soccer match between a team with white jerseys, and a team with yellow jerseys.",A competition is happening.
472,A young woman is playing the violin.,The young violinist is a woman.
473,People relax around a large community fountain in a park.,Community members are spending time in the park near a foundtain.
474,A woman playing the violin with sunglasses on her head.,someone is playing an instrument
475,A female violinist surrounded by other violinists.,A violinist among other string musicians
476,"A man, wearing revolutionary period clothes, is ringing a bell.","A man, wearing a revolutionary apparel is making noise with a bell."
477,A couple of people working around a pile of rocks.,People are working.
478,A man wearing a gray cap is looking down.,A man is wearing a cap
479,An older man dressed in blue historical clothing is ringing a bell in his right hand.,man ringing a bell
480,"Three young children consisting of two girls and a boy who is holding an apple with a bite out of it, are posing on a scenic mountain view background.",A group of children are posing.
481,"two little girls, one in a green jacket and one in a pink jacket, and a little boy in a green jacket holding an apple sitting on a rock.",Three kids are sitting on a rock.
482,An old man wearing khaki pants and a brown shirt standing on the sidewalk in front of a building.,An old man is standing by a building in downtown.
483,A man in costume is ringing a bell.,A man is playing an instrument.
484,two female medical personnel read their charts.,The women work in the health field.
485,"A person in an orange shirt is laying on the ground while others are standing around her, smiling.",a person in orange
486,Two men stand around a mixing bowl.,Two men are around a bowl.
487,Five people on stage performing and acting while girl lay's on belly.,A groups of people acts on stage.
488,Four people are acting behind a woman in a yellow shirt is lying on the ground.,A woman is lying down.
489,"Two men cook together with a metal bowl, near a hanging plant.","Near a hanging plant, a metal bowl was used to cook by two mens"
490,a woman on a yellow shirt is on the floor.,A woman on top of her clothes.
491,Two men share a laugh while in the kitchen.,Two men are in the kitchen.
492,Two men are cooking in the kitchen using rice milk.,Two guys cook using some rice milk.
493,A man windsurfs in a wetsuit.,A man is windsurfing.
494,A kite surfer begins to fall in the ocean.,A kite surfer is falling
495,A windsurfer is balancing on choppy water.,There is a windsurfer balancing on choppy water.
496,A man wakeboards on choppy water.,A man is wakeboarding.
497,A man parasails in the choppy water.,The water was choppy as the man parasailed.
498,"A woman in a white dress with a tiara sings in a chorus, which has a row of men in sailor hats.",The chorus is singing.
499,A child using a woodworking tool,the child is working with wood.
500,A little kid enjoying some sledding on a winter day.,There is snow on the ground.
501,A person is looking at water jets.,The person is interested in a water jet.
502,Two people enjoying a water fountain display.,two people by a fountain
503,A boy in a red and blue shirt painting a log.,A boy painting a log.
504,Child in red and blue shirt painting a log.,The child is painting.
505,Two people are next to a fountain with a red bottom and arches of water.,Two people are next to a fountain together.
506,An expectant woman happily lets another listen to the baby inside of her.,A pregnant lady shares the sounds of her pregnancy.
507,Soccer players on a field from a distance.,There are soccer players on the field.
508,Busy ChinaTown street corner where people are walking past an open front store.,There are people in ChinaTown.
509,A girl wearing a dress is blowing bubbles at a dock.,A human wearing a dress.
510,A man wearing a blue shirt is sitting on a brick planter next to some paintings.,A man is sitting down.
511,A child in formal clothing is walking along the edge of a stony area that is littered in places.,Someone is wearing formal clothes.
512,A young boy wearing a light blue jacket walks across the brick patio.,boy walks accross patio
513,A young boy with a blue coat makes a funny face as he walks towards the grass.,The child was walking near the grass making a funny face.
514,A little boy with a blue jacket is making a sour face at the camera.,The boy mugs for the camera.
515,People in a truck-full of sacks in a field full of sheep.,Some humans in a truck
516,Three construction workers posing with construction materials.,The workers are standing still.
517,Three people stand proudly by a truck stocked with building supplies in the street.,Peole stand by a building supply truck.
518,Three working men smile in front of a truck while holding construction equipment.,There are three men working.
519,Three men are smiling and posing behind a truck loaded with various construction supplies.,Three men are smiling
520,A view of a marketplace full of people in an asian country.,A view of a crowed place in an asian country.
521,A woman in blue jeans and a dark jacket walks in front of a building.,A woman walked pasted the front of a building.
522,The surfer catches a big wave but stays on his board.,The person is surfing.
523,The dogs run and play with a red ball.,The dogs are playing with a ball.
524,A white dog running in the backyard.,The dog is running.
525,A woman wearing orange looking upward.,A woman gazes skyward
526,Gray dog running down pavement toward laundry line in courtyard.,A dog is running outdoors.
527,A dog is chasing a ball in a backyard.,A dog is playing in the grass.
528,An older couple posing in front of a fountain for a picture,A couple taking a picture
529,Older couple posing for a picture in front of a fountain.,An couple is outside.
530,The parents of the younger male are posing for a picture in front of a water fountain.,A photographer takes a picture of the boy's parents by the fountain.
531,A man and woman watching two kids while the man holds a balloon.,The man is holding a balloon.
532,A group of people sitting at some sort of gathering.,people are together
533,A couple pose in front of a fountain.,There are two people in this picture
534,Two women standing under an umbrella.,two humans close together
535,a brown dog is jumping up at a woman who is wearing a brown skirt.,A dog is being friendly.
536,One dog is jumping at the lady while the other walks away.,A lady is near two dogs.
537,A golden retriever is excitedly greeting a woman as a little dog walks towards the camera.,Two dogs are near a woman.
538,Kids building and destroying objects.,Kids are playing with things.
539,Children playing with broken office equipment.,Children play with old equipment.
540,Two children are building something on the floor.,Two children are playing.
541,Children playing with or cleaning up miscellaneous items.,Kids putting away toys.
542,Young children outside playing with computer junk on the ground.,The children are playing.
543,Two dogs playing on carpet.,Two dogs are together.
544,Two bulldogs playing on the floor.,the dogs are indoors
545,Two dogs are playing and wrestling with each other.,A pair of dogs is playing.
546,Two dogs are playing together on white carpet near a couch.,Two dogs play.
547,A scuba diver stands on top of rocks after emerging from the water.,A scuba diver performnef on top of rocks.
548,two dogs wrestle.,Two dogs together.
549,3 safety jacket clad Construction workers appear to be poking something interesting with their shovels.,Three construction workers have shovels.
550,"Three male construction workers are examining something in a field, two of them are holding shovels.",Three men are in the field
551,Three male workers in bright jackets are working in a field with shovels.,The men are working with shovels.
552,People with safety vests stand in a field with shovels.,The people in safety vests are outside.
553,Men doing work in a field.,There are men working.
554,A man in the city on a cellphone.,A man talks on his cellphone.
555,A silver car with all of its doors open.,The car has doord
556,Two people walk along the side of a snowy mountain.,A man and a woman are walking in the snow.
557,Two people climbing a snowy mountain.,Two people are climbing a mountain.
558,People lean over in the snow.,There is snow and more than one person.
559,"Two people, with buildings behind them, are standing near a blue car with two doors open.",Two people are standing.
560,People in a city gathered around a blue station wagon.,People are next to a vehicle in the city.
561,A light blue car stopped outside with all its doors open.,A car is parked with all of its doors open.
562,Woman in white dress holds dove while sitting in flowered tree.,Woman is outdoors and cradling a dove.
563,A blond woman in a white dress sits in a flowering tree while holding a white bird.,The woman is blonde.
564,a blond girl in a white dress holding a bird in a tree.,A lady is wearing a dress holding a bird
565,A woman is holding a bird while sitting in a flowering tree.,The woman is older than 15.
566,People picking in a marsh.,People are near a body of water.
567,Woman sitting in tree with dove.,A woman is near a bird
568,two people working in water next to field,Two people are next to a field.
569,Two people are planting small bushes near a grassy area.,Two people are planting something.
570,"a woman walking in front of an outdoor mural, prominently featuring a portrait of a bald man.",A girl walking in front of a mural featuring a portrait of a bald guy.
571,A woman dressed in a white shirt is walking by graffiti.,A woman is walking.
572,Woman walking by a mural of an old bald man.,A woman sees a mural.
573,This wall has a picture of a man on it.,There is a wall and it has a picture on it.
574,A woman walks by a mural.,there is a female in this picture
575,A woman is a red tank top is riding horse.,A woman is horseback.
576,Two men riding on a motorbike in an Asian community.,Two men are riding bikes.
577,"A man sits on a deck, taking a break from fishing.",A man sits on a deck.
578,The man is sitting on a wooden rail near two fishing poles.,The man is sitting.
579,Someone in a yellow hat is sitting next to two fishing poles.,The person is next to a fishing pole.
580,A man sits on the edge of a wooden bench with two fishing poles behind him.,A man with fishing poles behind him sits on a bench.
581,"A man sits on the edge of a brige, looking out, fishing poles behind him.",A man fishing.
582,Young men and women gather outside in the streets for a party.,Men and women are outside.
583,People on the roof of a building look down on a crowded street.,People are outside.
584,Several people watching a scene on the street below from an apartment building.,The people are looking out the window.
585,A group of people gathered around a brick building that has three men on top of it.,The building is occupied.
586,A man playing the guitar is jumping.,The guitarist performs.
587,A young man in black glasses and a striped shirt jumping up while playing a guitar.,A man is playing the guitar.
588,a young man playing an electric guitar while jumping up and down in front of fans.,A guitar playing is playing for a audience.
589,The guy in a striped shirt is playing his electric guitar.,A male has an instrument.
590,A man in a striped polo plays a blue electric guitar.,The man is wearing a polo shirt.
591,Two men playing instruments for money while a woman is on her phone.,people playing instruments for money
592,"Two men, playing a soprano saxophone and guitar play music on a street corner while a listener checks her phone.",the men were playing music on the street corner
593,A lady standing on the corner using her phone.,The lady is outside
594,A girl photographs street musicians with her phone.,Girl taking picture
595,A person aquestrian horse jumping over a wooden fence.,A person horse jumping
596,Two men are playing instruments on a sidewalk.,Street performers show their skills.
597,A woman wearing a black top and red skirt is throwing a ball into the air.,A female is tossing a round object.
598,Several people read by a campfire at night.,There are people outside.
599,A dog swims in the water.,A dog swimming.
600,Three people sitting around a fire.,group of three around fire camp
601,A group of people are burning things.,A group of people are burning stuff.
602,A large black and white dog is swimming in the water.,An animal is swimming outside.
603,three people sit around a campfire.,The fire burns on
604,A dog swims through deep water.,Dog swimming in water.
605,A black and white dog is swimming.,There is an animal in water
606,A woman helps boys on a computer.,The boy is using a computer
607,A woman in a butchers shop leans over a counter and handles a large strip of meat.,A woman handles meat.
608,A woman with thinning hair is working in a meat processing plant.,A woman is working a tough job.
609,A woman is handling meat from a clear glass meat cage while standing before a wooden counter with a large metal bowl on it.,Woman handling meat from in front of a wooden counter.
610,"A room full of children raise their hands, fingers extended, to the sky.",There is a room full of children.
611,A woman walks past a fountain with palm trees in the background.,A woman walks past water with tall trees in the background.
612,people raise their hands.,People are waiting to answer questions.
613,An African American man in a suit gestures with his hands as he speaks.,A black man in a suit is moving his hands diligently while speaking.
614,A man is browsing things for sale on the street.,A man is browsing things for sale on the road.
615,A man on a high ladder is painting the outside of a house.,A man outside on a high ladder is painting the outside of a house.
616,Repairing a house in the hot sun how unfunny that has to be.,It is to warm to be outside.
617,A man in khaki pants and a light shirt and hat stands on scaffolding to apply stucco to a building.,A man is wearing a hat.
618,Children getting temporary tattoos from a Muslim lady.,Children get some temporary bodily decorations
619,A little boy with blue jeans runs on the leaves in the woods.,The boy is playing in the woods.
620,A young boy in a blue shirt is walking on a trail through the woods.,A boy is outside.
621,"A young child with blond-hair, wearing a blue shirt and jeans is walking in the woods.",A young child walks through the woods.
622,A small child in blue shirt and blue jeans is running through a wooded path over dry leaves.,A child is running over leaves.
623,Young boy jogging through the forest.,A child runs through the woods
624,a small child in a pink shirt running through a flowery field.,A child is running.
625,Men standing at the edge of a basketball court talking to each other.,The men are having a conversation.
626,commentators and broadcasters at there both in an arena before the game.,Commentators and broadcasters are preparing at the arena before a game
627,Three basketball commentators are talking while standing on the sidelines.,Three people are watching basketball from the sideline
628,Reporters or commentators at a sporting event are standing and sitting behind a large sign.,A group of people have gathered at a sporting event behind a large sign.
629,"Two women attempt to blow out the candles of a multicolored, multi-tiered cake while a third woman holds a candle up in the air.",There is fire visible in the shot.
630,A girl touches the fountain with her foot.,A girl and a fountain.
631,A little girl dressed in pink and white is walking.,A girl is wearing pink and white.
632,A young girl in all pink clothing walking.,A child is wearing only one color.
633,A young Asian girl wearing a pink outfit is walking past a bicycle.,A young girl wears a pink outfit.
634,"A man poses in mid jump beside a left turn road sign and a recumbent bicycle in the snow, behind him there is a large body of water.",A man is posing beside a road sign in the snow
635,The little girl is dressed in pink.,A little girl is dressed in the same color.
636,A man jumping up in the snow next to a body of water.,It is snowing.
637,A young boy paddling in a body of water on a small floating vessel near the shoreline.,A little boy is outside in the water
638,A nurse treating a child with cleft palate.,nurse treats child
639,"There are four canoes in the background, beautiful green grass, with three kids standing at the shore of the lake, that is crystal and crisp looking, and there is a redheaded boy wearing a red shirt, red life vest, and is in a yellow kayak, with a double ended yellow paddle.",The grass is green.
640,"In the background, there are 3 people on the shore among several canoes, and the young man in the foreground is paddling through the water, while wearing a life jacket and smiling.",A young man is canoeing.
641,a child is paddleboarding outdoors,A small human in the water.
642,A smiling young girl sitting at a table has an upturned bowl on her head.,A child has a bowl on her head.
643,Three men sit together while one looks at a book.,People are staring at text.
644,A nurse monitors a young child who appears to be post-op.,A woman watching over a person.
645,The little girl in the blue sweater is reading her book.,A small child is holding a book.
646,The nurse smiles as she gently rubs the tummy of the sleeping child.,The sleeping child is in the hospital.
647,A little girl with a backpack sitting down looking at a book.,the girl reads a book
648,"A baseball player holds his bat, while the catcher and umpire squat behind him and a crowd watches.",The crowd watches a baseball game
649,"There is a baseball player standing at home plate, the catcher behind him has his hand up in the air with his glove, and the umpire is standing behind him, and many people in the stands.",A baseball game is being played.
650,A baseball player getting ready to bat.,The player is ready to hit.
651,A man in a red and white uniform holding a bat.,One man with a bat wearing red and white.
652,A baseball player is holding a bat.,The person has a piece of athletic equipment.
653,A lone boat sitting in the water.,A boat sits alone at the docks edge.
654,A girl in a pink tank top and green pants is running through a field of tall flowers.,A girl in a tank top and pants is running.
655,Four ice skaters racing around a corner.,The people are racing.
656,Two men talk at a crowded beach on a nice day.,Two men talk at the beach.
657,"Four skaters are competing in a high speed skating competition, and turning on the track.",Four people are skating.
658,Four athletes from two different teams are competing in their sport on the ice rink.,People are playing a game on the ice.
659,Four people turn a corner in a speed skating event.,The people are skating.
660,Four women participating in an ice-skating race.,Some humans participating.
661,A team of soccer players in white strips are running around cones on a sports field.,Soccer players are running on the grass.
662,Runners in a marathon going uphill.,Runners run in the marathon.
663,An older man in jeans and a sweater is lifting down a box from the top of a pile.,"The man is moving a box,"
664,An older man places a wooden crate on top of a stack of wooden crates.,A man stacking crates.
665,Man in sweater stacks wooden crates next to pile of plastic crates.,A man working hard.
666,Man stacking wooden crates on top of each other.,A man performs simple work functions.
667,An elderly male is reaching for a crate.,An old man trying to get to a crate
668,A girl in a green sweatshirt sitting down and a girl in a dress leaning on blue lockers.,One girl is sitting.
669,A girl is on a stool while another girl is reading and leaning on some lockers,A girl is busy reading while another sits nearby.
670,Two men in baseball hats and bright yellow shirts work behind a fence.,Two men work behind a fence.
671,Two men wearing bright green shirts are looking for something by a bush.,Two men are looking for something.
672,Two workers in neon green shirts opening a utility box.,Two workers are opening a utility box.
673,Men wearing lime green shirts work behind a chain link fence.,People wearing lime green shirts work behind a chain link fence.
674,Two people doing yard work.,People working in a yard
675,A man with a drink cup is talking to another man.,Two guys are talking.
676,An older man with a cane stands against a wall.,A person is standing
677,One person holds a giant snowball over two others on the ground in a snowy background.,People are outside in the snow.
678,A man holding a large chunk of snow over two people on the ground.,The guy is getting ready to throw snow at some people.
679,Two friends await their demise as a man with a giant snowball held above his head waits for the perfect time to strike,Humans waiting
680,two dogs playing,There are two animals in this picture.
681,Two dogs look at one another outside.,Two dogs are outside.
682,Two small dogs run across the green grass.,animals are running outdoors
683,Three people playing in the snow.,Three people play outside
684,two small dogs playing with each other in the grass,Two dogs are playing.
685,A man in a white jacket standing in front of an older woman in a white jacket playing crochet.,The man wearing the jacket stood in front of two women.
686,a woman in a coat watching a man in a jacket kick balls.,A woman is watching a man kick things.
687,A man and woman are looking at many balls on the ground.,Two people looking at balls
688,A man and old woman is playing a game,Two people play a game.
689,a black dog digging through the snow.,The puppy is playing outside.
690,Elderly bald man with a beard playing the guitar in a band.,There are people making music together.
691,An older man plying a guitar in a band.,The man is holding the instrument.
692,An older man in a white sure is playing a guitar while others play different instruments.,People making music together
693,Man in white t-shirt and white beard plays electric guitar with a fiddler in a band.,The band had a fiddler and a guitarist.
694,Two children are laughing and playing in a tire swing at a park.,Children are playing in a tire swing.
695,An elderly man playing guitar on stage.,An elderly person playing guitar on stage.
696,Students in a classroom of some sort are doing art projects.,Students are working on their art projects in the classroom.
697,A small black and brown dog is standing in the snow.,A dog is outside in the snow.
698,a large black dog fighting with another large brown and black dog.,There are some dogs that are fighting
699,A group of cheerleaders are cheering on a field.,A group of cheerleaders cheering.
700,A old man with a cane standing outside.,A man is standing.
701,"The woman, in the beret, is in the process of writing information in regard to what she sees in the microscope.",a woman writes down what she is seeing
702,A woman with brown hair and wearing a black hat is looking in a microscope and writing something down.,The woman is using a microscope and taking notes
703,A woman wearing a black code and hat is at school looking through a microscope and taking notes.,A woman looks through the microscope.
704,Ensuring that an accurate account of all I see here is appropriately recorded.,Establishing that everything is accurately recorded.
705,Three dogs affectionately playing,The animals are friendly to each other.
706,Man helping passengers get on tour boat.,There are people getting on a tour boat.
707,A large dock runs into a lake next to a group of people swimming.,People take a swim at the lake
708,A black dog digs in the snow.,The black dog is outside
709,A woman buys fresh food from a stand at a farmer's market.,A woman spends money.
710,"Girl gets all her fingers cutoff trying to catch a Frisbee, fail!",A girl lost her fingers!
711,"Two woman playing a frisbee game, the frisbee in the air about to be caught by one of the women.",Two women are playing a game.
712,Two men in baseball hats selling asparagus and other vegetables from an outdoor stand to a woman carrying a green bag.,Two men sell vegetables at an outdoor stand.
713,Beautiful young lady striking an artistic pose.,The woman is posing.
714,Man serving a customer from a vegetable stand.,The man is working the vegetable stand.
715,A woman in a white dress sits while another woman blow dries her hair.,A lady is near a blow dryer.
716,A young man in a green long-sleeved shirt and tie playing a saxophone.,the young man is playing the saxophone
717,Three men and one woman in a band on a stage.,The band members were singing.
718,The blond boy is playing the saxophone for a band.,A boy is playing an instrument.
719,Young man in a school band who has center stage and is doing his best.,A school band is playing.
720,A woman in a blue dress sings while her bandmates play instruments.,People are singing and playing instruments.
721,"A band with four members, one female, plays for a small audience.",A music group plays music.
722,A musical quintet are performing at a festival.,Four people at a festival.
723,A 5-person band is performing on a stage inside a tent.,A band performs a musical number on stage.
724,A large woman in a blue jacket is looking irritated.,a heavy set woman wearing a jacket is not happy.
725,Two men in wheelchairs crash and they reach for the ball.,Two men are in wheelchairs
726,A boogie boarder surfs on a man made wave.,There is a person with a boogie board.
727,A bride and groom dance surrounded by people at the reception.,A married couple is in the proximity of other humans.
728,A young blond woman in a blue top sits at a green table studying,A young women is sitting.
729,A referee is speaking to some players on a field.,referee discussing with player
730,"Man and woman discussing a topic while sitting in chairs, a water bottle sitting on the table.",man and woman talking
731,Two teams compete in a game of football and are hurrying to catch the ball midair.,two teams playing a game.
732,Players from two teams tangle together in pursuit of a flying rugby ball.,Two teams playing.
733,Black and White Team rugby players are struggling over the ball in front of a white wall that has blue writing.,The words on the wall are wrote in blue.
734,A team of men are playing a game in which several of them are jumping to reach the ball.,The men are playing basketball.
735,A group of rugby players are struggling over the ball.,A group is struggling over a ball.
736,A boy is hugging a smaller boy from behind.,a couple boys are together
737,Two young boys wearing jerseys are washing their hands in the bathroom.,A couple of young boys are washing their hands.
738,Asian women in traditional garb are walking in a parade.,Asian women in a parade
739,A man in green shorts and a brown shirt and sunglasses takes a picture.,The man taking the picture is wearing shorts and sunglasses.
740,Three Asian people wait on the sidewalk.,3 people are on the sidewalk
741,A group of people sitting at an outdoor table eating food and drinking alcoholic beverages.,The people are outdoors eating and drinking.
742,A man and a woman are standing in front of a building with some graffiti on it.,A woman and man are standing in front of a building.
743,A young girl and a young guy are outside on a street facing each other.,Some people are outside.
744,A woman in a black jacket is talking to a man who's wearing white sneakers next to a yellow building.,The woman is talking.
745,"Two people stand in front of a building with graffiti that reads ""Boss Life"".",Two people stand outside.
746,A group of adults in casual dress sit down to eat a barbecued meal.,The adults are wearing clothes.
747,Two people are facing each other on the corner of a street.,The two people are outdoors
748,A woman in red sips a drink as she looks at the people below her.,A person drinks while people watching.
749,"Many people wearing red and white are walking in the street as another lady, wearing a red blouse, watches from above holding a drink.",People are walking on a street.
750,A view of a city street where many people wearing white and red are walking.,There is a view of a city street with many people wearing white and red while walking.
751,Two elderly people sing in microphones while playing instruments.,The people are making noise together.
752,"An older middle-aged man wearing a brown hat is strumming a guitar and singing into a microphone; his female companion is singing into a microphone and playing an instrument also, but the woman's instrument cannot be readily seen.","The man and woman singing due play their instruments, although the woman's instrument is blocked by something."
753,A young woman sips a drink on a balcony during a Bull run.,The woman sipped her drink.
754,A couple of old people playing instruments and singing.,old people are singing and playing instruments
755,Several people are standing in a fenced in area.,There are some people standing around whilst fenced in.
756,A winter landscape with four people walking in the snow.,A winter scene with people walking.
757,two dogs run across dry ground.,two animals run across dry ground.
758,Two dogs walking along dirt path.,The animals are moving.
759,The dogs are walking in the desert.,The dogs are on the beach.
760,Two dogs are walking away from the camera through shrubs and grass.,There are some dogs outside.
761,A man holds onto a tether as he waterskis splashing water every direction!,a man watersking
762,Two dogs playing outside.,There are canines in the yard.
763,A young Indian girl in a blue dress is pointing and smiling at the camera.,THe girl is on tv
764,"Girls wearing a blue dress holding a thin, long, blue fabric while one girl is smiling and pointing to the camera.",There is a smiling girl pointing to the camera.
765,Dog catching a red Frisbee.,A dog is playing catch.
766,Girls in blue dresses are holding large blue cloths.,A group of girls in blue holding cloths.
767,A man wearing swim goggles is doing the crawl in a lane in a swimming pool.,A human in a pool
768,Two Indian people are dancing at a wedding with flower petals all over the floor.,Two Indian people people dancing at a wedding.
769,The boys draw in the sand with sticks.,The children play simply.
770,A girl wearing a blue dress is sliding down a tube slide.,A girl wearing a blue dress is playing at a playground.
771,A swimmer is emerging from the water,The swimmer is coming up from the water.
772,A bearded man wears a red bandanna and a leather jacket over a teeshirt with an American flag on it.,A bearded man is wearing an America-themed shirt.
773,A swimmer's hand is taken as he gets out of the water.,The swimmer is getting out of the water.
774,A swimmer exits the water after a competition.,A person is wet.
775,The child wearing the green shirt is on the beach talking with some people.,The child is wearing green.
776,Four people in sunhats are sitting and talking together on the sand of the ocean shore.,Four people sit outside.
