,#1 String,#2 String
1515,Edward Henty settled Portland Bay in 1834 .,Edward Henty moved to Portland Bay and began sheep farming in December 1834 .
1516,The spring peeper ( Pseudacris crucifer ) is also widespread in the eastern United States and is commonly heard on summer and spring evenings .,The spring peeper ( Pseudacris crucifer ) can also be found in Eastern United States .
1517,"The practice of creating cardinal-nephews originated in the Middle Ages , and reached its apex during the 16th and 17th centuries .",The practice of creating cardinal-nephews originated in the Middle Ages .
1518,"In its modern usage , the term was first used by King Charles I of England in 1639 .",The term was first used by King Charles I of England in 1639 .
1519,"The scientific objectives were : Besides the experiments with the scientific instruments , the objectives of both the Mariner 1 and 2 probes included also engineering objectives : Mariner 2 was launched from Cape Canaveral Air Force Station Launch Complex 12 at 06:53:14 UTC on August 27 , 1962 by a two-stage Atlas-Agena rocket .","Mariner 2 was launched on August 27 , 1962 aboard an Atlas-Agena B rocket at Cape Canaveral Air Force Station ."
1520,"`` Diabolus in Musica '' was released on June 9 , 1998 by American Recordings .","`` Diabolus in Musica '' was released on June 9 , 1998 through American Recordings ."
1521,Tigny-Noyelle is a commune in the Pas-de-Calais department in the Nord-Pas-de-Calais region of France .,Tigny-Noyelle is a commune . It is found in the region Nord-Pas-de-Calais in the Pas-de-Calais department in the north of France .
1522,"Riverina soils are generally sandy along the river channels , with more saline grey and brown clays found on rarely flooded areas on the perimeter of the floodplain .","Riverina soils are generally sandy along the rivers , with more saline grey and brown clays found on rarely flooded areas on the edge of the floodplain ."
1523,"After the demise of Deep Purple , Coverdale embarked on a solo career .","After the end of Deep Purple , Coverdale started a solo career ."
1524,Beginning in a first competition in 486 BC each playwright submitted a comedy .,"From 486 BC , each playwright also submitted a comedy ."
1525,"In total , 1,010 707s were built for civil use , though many of these found their way to military service .","1,010 707s were made for airlines , but a lot of these went to militaries ."
1526,"Ramsay MacDonald became the first Labor Prime Minister , but the Labor government fell within months necessitating another general election .","In 1929 , the Conservatives lost the general election , and Ramsay MacDonald became the new Labor prime minister ."
1527,"Jones was the first artist signed to the NorthernBlues Music label in Toronto , Canada , and released his first six recordings with the label .",Jones was the first artist signed to the NorthernBlues Music label in Toronto .
1528,"As of February 2014 , McFly have had 18 consecutive UK top 20 singles , seven of which reached number one in the UK Singles Chart and seventeen of which were consecutive top ten singles .","By October 2007 , McFly had thirteen top ten singles ."
1529,She portrayed Carrie Buck in the television drama `` Against Her Will : The Carrie Buck Story '' ( 1994 ) based on the United States Supreme Court case `` Buck v. Bell '' 274 U.S. 200 ( 1927 ) .,"In 1994 , Matlin acted as Carrie Buck in `` Against Her Will : The Carrie Buck Story '' ( 1994 ) . This television movie is about the United States Supreme Court case `` Buck v. Bell '' 274 U.S. 200 ( 1927 ) ."
1530,"At the request of Premier Robert Bourassa , Prime Minister Pierre Trudeau invoked the War Measures Act .","Prime Minister Pierre Trudeau invoked the War Measures Act , and 497 people were arrested ."
1531,"A memorial plaque to McCarroll is located at the intersection of Indio Boulevard and Fargo Street in Indio , California .","A memorial plaque to Dr. McCarroll may be found at the intersection of Indio Boulevard and Flower Street in Indio , California ."
1532,"It was not until 1850 that zoologists realized the extant nature of the species , when Paul Gervais compared the type specimen to another that had stranded itself at Aresquiès , Hérault , in May of the same year , and found the two to be identical .","In 1850 zoologists realized the species was still living , when Paul Gervais compared the type specimen to a whale stranded at Aresquiès , Hérault . He found the two to be identical ."
1533,"Walker , the son of Cheryl ( née Crabtree ) , a fashion model , and Paul William Walker III , a sewer contractor and a fighter who was a two-time Golden Gloves champion , was born in Glendale , California .","His parents were Cheryl ( née Crabtree ) , a fashion model , and Paul William Walker III , a sewer contractor and a fighter who was a two-time Golden Gloves champion , He had English ancestry , with a smaller amount of German , and possible Irish ancestry ."
1534,The Province of Grosseto ( ) is a province in the Tuscany region of Italy .,Province of Grosseto ( Italian : `` Provincia di Grosseto '' ) is a province in the Tuscany region of Italy .
1535,Kapfenberger SV is an Austrian association football club from Kapfenberg .,"The Kapfenberger SV ( official Kapfenberger Sportvereinigung Superfund ) is a football club from Kapfenberg , Styria ."
1536,"On September 19 1846 , Maximin Giraud and Melanie Calvat ( called Mathieu ) reported seeing the Virgin Mary on Mount Sous-Les Baisses , weeping bitterly .","On 19 September 1846 , Maximin Giraud and Melanie Calvat reported seeing the Virgin Mary weeping on Mount Sous-les Baisses ."
1537,"After her death , she was hailed as `` one of the finest and most neglected singers of her time . ''","After her death , people called her one of the finest and most neglected singers of her time ."
1538,"However , OCA2 gene polymorphism , close to proximal 5 ′ regulatory region , explains most human eye-color variation .",OCA2 mutations close to the 5 ′ regulatory region explain most human eye-color variation .
1539,"On July 1 , 2014 , Aulie signed as a free agent to a one-year contract with the Edmonton Oilers .","On July 1 , 2014 , Aulie signed a one-year contract with the Edmonton Oilers ."
1540,"Benjamin `` Bugsy '' Siegel ( February 28 , 1906 -- June 20 , 1947 ) was a Jewish American mobster .","Benjamin Siegel ( February 28 , 1906 -- June 20 , 1947 ) was an American mobster with the Luciano crime family ."
1541,Roussent is a commune in the Pas-de-Calais department in the Nord-Pas-de-Calais region of France .,Roussent is a commune . It is found in the region Nord-Pas-de-Calais in the Pas-de-Calais department in the north of France .
1542,`` I 'm Your Baby Tonight '' is the lead single and title track from Whitney Houston 's third studio album of the same name .,`` I 'm Your Baby Tonight '' was the lead single and title track from Whitney Houston 's album of the same name .
1543,"In computing , the colon character is represented by ASCII code 58 , ( HTML &#58; ) and is located at Unicode code-point U +003 A ( colon ) .","In computing , the colon character is represented by ASCII code 58 , and is located at Unicode code-point U +003 A ."
1544,A 13-year-old boy that Jackson had befriended named Gavin Arvizo accused him of sexual abuse .,A 13-year-old boy called Gavin Arvizo accused him of sexual abuse in 2003 .
1545,As with `` terrorism '' the concept of `` state terrorism '' is controversial .,The concept of terrorism may be controversial .
1546,"A combustor is a component or area of a gas turbine , ramjet , or scramjet engine where combustion takes place .","A combustor is a part or area of a gas turbine , ramjet , or scramjet engine where combustion takes place ."
1547,"Paulo Henrique Souza de Oliveira ( born 5 January 1943 in Macaé ) , usually called Paulo Henrique , is a former Brazilian footballer .","Paulo Henrique Souza de Oliveira ( born 5 January , 1943 ) is a former Brazilian football player ."
1548,David Bala was a Singaporean comedian and actor .,David Bala ( 1947 -- 29 August 2014 ) was a Singaporean comedian and actor .
1549,"Although not actually the earliest member of the group , `` Thecodontosaurus '' is sometimes placed in a very basal position among the sauropodomorph dinosaurs .",`` Thecodontosaurus '' is sometimes placed in a very basal position among the sauropodomorph dinosaurs .
1550,"In 1962 at Curaçao , he had serious health problems , having undergone a major operation shortly before the tournament , and had to withdraw three-quarters of the way through , scoring just seven points ( +3 − 10 = 8 ) from 21 games .","In 1962 at Curaçao , he had serious health problems , having undergone a major operation shortly before the tournament , and had to withdraw three-quarters of the way through , scoring just seven points ( +3 -10 = 8 ) from 21 games ."
1551,"This zone is predominantly inhabited by seaweed and invertebrates , such as sea anemones , seastars , chitons , crabs , green algae , and mussels .","The high tide zone is inhabited by sea anemones , starfish , chitons , crabs , green algae , and mussels ."
1552,Many particular electrophysiological readings have specific names : The voltage clamp technique allows an experimenter to `` clamp '' the cell potential at a chosen value .,Many particular electrophysiological readings have specific names :
1553,The Archivist of the United States is the chief official overseeing the operation of the National Archives and Records Administration .,The Archivist of the United States is the chief official in charge of the National Archives and Records Administration .
1554,"Tiffany `` Jill '' Arrington ( born July 27 , 1972 ) is an American sportscaster with Fox Sports .","Tiffany `` Jill '' Arrington ( born July 27 , 1972 ) is an American sportscaster . She works for Fox Sports ."
1555,"The painting depicts an open-air scene , crowded with people at a popular dance garden on the `` Butte Montmartre '' close to where he lived .","The painting depicts an open-air scene , crowded with people , at a popular dance garden on the `` Butte Montmartre '' , close to where he lived ."
1556,"In the United Kingdom , Tesco supermarkets , Tesco Extra , and most Tesco service stations carry Krispy Kreme products .","In the United Kingdom Tesco supermarkets , Tesco Extra and Moto service stations carry Krispy Kreme products ."
1557,Biological classification is based on shared descent from their nearest common ancestor .,It may be the result of shared descent from a common ancestor .
1558,A sigmatropic reaction in organic chemistry is a pericyclic reaction wherein the net result is one σ-bond is changed to another σ-bond in an uncatalyzed intramolecular process .,A sigmatropic reaction in organic chemistry is a pericyclic reaction .
1559,"Examples : Gregorian years 1989 , 1995 , 2006 and 2017 or Julian year 1917 .","Examples : Gregorian years 1989 , 1995 , 2006 , 2017 and 2023 or Julian year 1917 ."
1560,Having concluded his assignment at the Egyptian Museum he returned to his main work in teaching at Ain Shams University .,Having concluded his assignment at the Egyptian Museum he returned to his main work in teaching at the Ain Shams University .
1561,"José Montserrate Feliciano García ( born September 10 , 1945 ) , better known simply as José Feliciano , is a Puerto Rican virtuoso guitarist , singer , and composer known for many international hits , including his rendition of the Doors ' `` Light My Fire '' and the best-selling Christmas single `` Feliz Navidad '' .","José Montserrate Feliciano García ( born September 10 , 1945 ) , better known simply as José Feliciano , is a Puerto Rican virtuoso guitarist , singer and composer . He is known for many international hits , including his remake of The Doors ' `` Light My Fire '' and the best-selling Christmas single `` Feliz Navidad '' ."
1562,"Bergstraße ( `` Mountain Road '' ) is the name of an ancient trade road that is now a mountainous theme route , and the area around it , running along the western edge of the Odenwald in southern Hesse and northern Baden-Württemberg , Germany .","Bergstraße ( `` Mountain Road '' ) is the name of a mountain route , and the area around it , which stretches across the western edge of the Odenwald in southern Hesse and northern Baden-Württemberg , Germany ."
1563,"On July 8 , a well organized tropical wave in the Caribbean Sea organized into Tropical Storm Claudette .",Claudette started as Tropical Storm Claudette which that started on July 8 in the Caribbean Sea .
1564,"Thomas James `` Tom '' Laughlin ( born February 13 , 1971 ) , best known by his ring name Tommy Dreamer , is an American professional wrestler , promoter , and actor .","Thomas James `` Tom '' Laughlin ( born February 13 , 1971 ) is an American professional wrestler , promoter and actor . He is better known by his ring name , Tommy Dreamer ."
1565,"The course of the Orinoco forms a wide ellipsoidal arc , surrounding the Guiana Shield ; it is divided in four stretches of unequal length that roughly correspond to the longitudinal zonation of a typical large river : At its mouth , the Orinoco forms a wide delta that branches off into hundreds of rivers and waterways that flow through 41,000 km2 ( 16,000 sq mi ) of swampy forests .",The course of the Orinoco forms a wide arc that surrounds the Guiana Shield .
1566,"Tubman was ordered to keep watch on the baby as it slept ; when it woke and cried , Tubman was whipped .",Tubman was ordered to keep watch on the baby .
1567,"Schöneberg is a locality of Berlin , Germany .",Schöneberg is a locality of Berlin .
1568,"In 2012 , Shada joined the cast of Nick Cannon 's sketch-comedy series , Incredible Crew .","In 2012 , Shada joined the cast of Nick Cannon 's comedy sketch Incredible Crew ."
1569,The port was well known to American whaleships of the 19th century .,This city and the port was well known by some American whaleships on 19th century . Etimology .
1570,"The park continued its expansion and installed several major attractions , including a Log flume , a swinging pirate ship , a long water coaster , and numerous other attractions .","The park continued its expansion and installed several major attractions , including a Log flume , a swinging pirate ship , a 40 ft long water coaster , and numerous other attractions ."
1571,"In 1445 Pope Eugenius IV summoned him to Rome to paint the frescoes of the Chapel of the Holy Sacrament at St Peter 's , later demolished by Pope Paul III .","In 1445 , Pope Eugenius IV sent a message for Fra Angelico to come to Rome to paint the frescoes of the Chapel of the Holy Sacrament at St Peter 's ."
1572,"Before he retired from his weekday breakfast programme `` Wake Up to Wogan '' on BBC Radio 2 in 2009 , it had eight million regular listeners , making him the most listened-to radio broadcaster in Europe .","Before he retired from the weekday breakfast programme `` Wake Up to Wogan '' on BBC Radio 2 on 18 December 2009 , Wogan had a regular eight million listeners , making him the most listened to radio broadcaster of any European nation ."
1573,"Ordered by the central government in West Pakistan , this was seen as the sequel to `` Operation Blitz '' which had been launched in November 1970 .",It was ordered by the government in West Pakistan . This was seen as the sequel to Operation Blitz which had been launched in November 1970 .
1574,"It is perhaps best known through its service organizations , St John Ambulance and St John Eye Hospital Group , the memberships and work of which are not constricted by denomination or religion .","It is perhaps best known through its service organizations , St. John Ambulance and St John Eye Hospital Group , the memberships and work of which are not limited to any denomination or religion ."
1575,"Kearny ( ) is a town in Hudson County , New Jersey , United States and a suburb of Newark .","Kearny ( pronounced / kɑrni / ) is a town in Hudson County , New Jersey , United States ."
1576,"After the war , Abe graduated from the Imperial Japanese Army Academy in November 1897 .","After the war , Abe graduated from the Imperial Japanese Army Academy ."
1577,"She competed at the 2008 Summer Paralympics , where she finished sixth in the 1,500 meter race .","She raced at the 2008 Summer Paralympics . She finished 6 in the 1,500 meter race ."
1578,The main tribe of this Union Council is the Karlal the main subcaste is the Bolakial .,The main tribe of this Union Council is the Karlal .
1579,"Producers confirmed to work on the album include DJ Khalil , Nottz , Bernard `` Focus '' Edwards Jr. , Hi-Tek , J.R. Rotem , RZA , Jay-Z , Warren G , and Boi-1da .","Producers confirmed to be working on the album are DJ Khalil , Nottz , Bernard `` Focus '' Edwards Jr. , Hi-Tek , J.R. Rotem , RZA , Jay-Z , Warren G , and Boi-1da ."
1580,"He was the conductor for the 1929 first recording of Johann Sebastian Bach 's Mass in B minor , BWV 232 , and the 1930 premiere recording of Rachmaninoff 's Piano Concerto No. 3 in D minor , with Vladimir Horowitz as soloist .","He was the conductor for the first recording of Rachmaninoff 's Piano Concerto No. 3 , with Vladimir Horowitz as soloist ."
1581,"The low fitness of the hybrids would cause selection to favor assortative mating , which would control hybridization .","The low fitness of the hybrids would cause selection to favour assortative mating , which would reduce hybridization ."
1582,GCHQ was originally established after the First World War as the Government Code and Cypher School ( GC&CS ) and was known under that name until 1946 .,"GCHQ was started after the First World War as the Government Code and Cypher School ( GCCS or GC&CS ) , by which name it was known until 1946 ."
1583,"The medulla contains the cardiac , respiratory , vomiting and vasomotor centers and therefore deals with the autonomic ( involuntary ) functions of breathing , heart rate and blood pressure .","The medulla contains the cardiac , respiratory , vomiting and vasomotor centers and deals with autonomic functions , such as breathing , heart rate and blood pressure ."
1584,"In 1946 , it was decided to replace London 's remaining trams `` as soon as possible '' , this time by diesel buses .","In 1946 , it was decided to replace all of London 's remaining trams `` as soon as possible '' . This time though the replacement would be by diesel buses instead of trolleybuses ."
1585,"Noah Andrew Ringer ( born November 18 , 1996 ) is an American teen actor and a martial arts practitioner .","Noah Andrew Ringer ( born November 18 , 1996 ) is an American actor ."
1586,Disney Channel has had many popular shows throughout its history .,Disney Channel has many popular shows .
1587,"Many Odessan Jews fled abroad , particularly to Ottoman Palestine after 1882 , and the city became an important base of support for Zionism .","Many Odessan Jews fled abroad , particularly to Palestine after 1882 , and the city became an important base of support for Zionism ."
1588,"The third act becomes a play within a play , in which the characters in the puppet play are portrayed by humans .",The third act is the puppet play .
1589,"In 1951 , the prize changed to a general literary prize , awarded annually by the Deutsche Akademie für Sprache und Dichtung .","In 1951 , the prize changed to a general literary prize , given yearly by the `` Deutsche Akademie für Sprache und Dichtung '' ."
1590,"According to South Korea 's Ministry of Foreign Affairs and Trade , there were 205,993 Koreans or people of Korean descent in Canada as of 2013 ( update ) , making them the fourth-largest Korean diaspora population ( behind Koreans in China , Koreans in the United States , Koreans in Japan and ahead of Koreans in Russia ) .","According to South Korea 's Ministry of Foreign Affairs and Trade , there are 223,322 Koreans or people of Korean ancestry in Canada ."
1591,"He was awarded by the Stalin Prize ( 1949 ) and State Prize of Armenia ( 1970 ) , People 's Artist of the USSR ( 1970 ) and Armenian SSR ( 1964 ) honorary titles , Aram Khachaturian Prize ( 1986 ) , `` St Mesrop Mashtots '' and `` Khorenatsi '' Armenian medals , `` Alexandrov '' Gold medal ( 1976 ) , the Orpheus Award ( Kentucky , USA ) and `` St Sahak and St Mesrop '' Order by Holy Etchmiadzin ( 2004 ) .","He was awarded by the State Prizes of USSR ( 1949 ) and Armenia ( 1970 ) , People 's Artist of the USSR ( 1970 ) and Armenian SSR ( 1964 ) honorary titles , `` St Mesrop Mashtots '' and `` Khorenatsi '' Armenian medals , `` Alexandrov '' Gold medal ( 1976 ) , `` St Sahak and St Mesrop '' Order by Holy Etchmiadzin ( 2004 ) ."
1592,"On Saturday August 2 , 2014 , a sell-out crowd of 109,318 watched Manchester United defeat Real Madrid 3-1 in an International Champions Cup match .","On Saturday August 2 , 2014 , 109,318 people watched Manchester United victory over Real Madrid 3-1 in an International Champions Cup match ."
1593,"She was also known for her recurring role as Martha Evans in `` The Days of Our Lives '' ( 1977 -- 1979 , 1982 ) .","She was also known for her recurring role as Martha Evans on `` Days of Our Lives '' ( 1977-1979 , 1982 ) ."
1594,"Everett , a Whig , served as U.S. Representative , U.S. Senator , the 15th Governor of Massachusetts , Minister to Great Britain , and United States Secretary of State .","He was a Whig . He served as U.S. Representative , and U.S. Senator , the 15th Governor of Massachusetts , Minister to Great Britain , and United States Secretary of State ."
1595,Port is a commune in the Ain department in eastern France .,Port is a commune . It is found in the region Rhône-Alpes in the Ain department in the east of France .
1596,"Also , due to increased pressure by the media and the NCAA investigation , Cecil Newton announced he would not attend the Heisman Trophy Ceremony .","Also due to increased pressure by the media and the NCAA investigation , Cecil Newton announced he would not attend the Heisman Trophy Ceremony ."
1597,"They rank the atoms around a stereocenter in a standard way , allowing the relative position of these atoms in the molecule to be described unambiguously .",They rank the atoms around a stereocenter in a standard way .
1598,"In March 2003 , SCO filed suit against IBM alleging that IBM 's contributions to various free software , including FSF 's GNU , violated SCO 's rights .","In March 2003 , SCO filed suit against IBM alleging ( saying ) that IBM 's contributions to some free software , including FSF 's GNU , violated SCO 's rights ."
1599,"Likewise , Watson surmised that Kasparov , when playing Black , bypasses the question of whether White has an opening advantage `` by thinking in terms of the concrete nature of the dynamic imbalance on the board , and seeking to seize the initiative whenever possible '' .","p91 Watson surmised that Kasparov , when playing black , bypasses the question of whether White has an opening advantage `` by thinking in terms of the concrete nature of the dynamic imbalance on the board , and seeking to seize the initiative whenever possible '' ."
1600,"After Mr. Randolph 's death Mrs. Randolph sold the plantation in 1889 for $ 100,000 .","After Mr. Randolph 's death Mrs. Randolph sold the plantation in 1889 for $ 50,000 ."
1601,"Sukkur City Taluka is an administrative subdivision ( taluka ) of Sukkur District in the Sindh province of Pakistan , the city of Sukkur is the capital .",Sukkur City Taluka is an administrative subdivision ( taluka ) of Sukkur District in the Sindh province of Pakistan . The city of Sukkur is the capital .
1602,Acrylic paint is a fast-drying paint containing pigment suspension in acrylic polymer emulsion .,Acrylic paint is a fast-drying paint containing pigment in an acrylic polymer emulsion .
1603,"The trill is indicated by either a or a ~ ~ , with the ~ representing the length of the trill , above the staff .","The trill is shown by either a or a ~ ~ , with the ~ representing the length of the trill , above the staff ."
1604,The Academy Award for Documentary Feature is an award for documentary films .,The Academy Award for Documentary Feature is one of the most important awards for documentary movies .
1605,"There are many exceptions to this rule , however .",There are many exceptions to this rule .
1606,is a city in the U.S. state of Vermont that serves as the state capital and the shire town ( county seat ) of Washington County .,is a city in the U.S. state of Vermont that serves as the state capital . It is also the shire town ( county seat ) of Washington County .
1607,"It is the second most populous city of the state , after the capital .","It is the second most populous city in the state after Rio de Janeiro , the capital of the state ."
1608,"The term mainly describes vans that have been fitted out , often with a coachbuilt body for use as accommodation .","The term campervan mainly represents vans which are fitted out , with a coachbuilt body for use as accommodation ."
1609,"He conducted the orchestra 's first performances in the newly constructed Louise M. Davies Symphony Hall in September 1980 , including the nationally televised gala .",He conducted the orchestra 's very first performances in the Davies Symphony Hall .
1610,"Others work for non-profit organizations , universities , hospitals and larger government entities such as the Centers for Disease Control and Prevention ( CDC ) , the Health Protection Agency , the World Health Organization ( WHO ) , or the Public Health Agency of Canada .","Others work for non-profit organizations , universities , hospitals and larger government entities such as the Centers for Disease Control and Prevention ( CDC ) , the Health Protection Agency , The World Health Organisation ( WHO ) ."
1611,"Subsequently , there was an increase in jobs and funding in psychology in the United States .","Afterwards , there was an increase in jobs and funding in psychology in the United States ."
1612,"Although Federation is often regarded as the moment of `` independence '' of Australia from Britain , legally the Commonwealth was a creation of the British Imperial Parliament , through the Commonwealth of Australia Constitution Act 1900 ( Imp ) , which applied to Australia by paramount force .","Although Federation made Australia independent of Britain , legally the Commonwealth was a creation of the British Imperial Parliament , through the Commonwealth of Australia Constitution Act 1900 ( Imp ) , which applied to Australia ."
1613,"Robinson retired from baseball at age 37 on January 5 , 1957 .","Robinson retired from baseball on January 5 , 1957 ."
1614,"However , his daughter later clarified that he had not retired outright , but was maintaining a role at Family Radio while working from home .","However , his daughter later clarified that he had not retired outright , but was maintaining a role at the Family Radio while working from home ."
1615,The 20/20 Experience ( also known as The 20/20 Experience -- 1 of 2 ) is the third studio album by American singer Justin Timberlake .,The 20/20 Experience ( also known as The 20/20 Experience -- 1 of 2 ) is the third studio album by Justin Timberlake .
1616,"Kinoto Saito ( born July 8 , 1976 ) is a Japanese football player .",Kinoto Saito ( born 8 July 1976 ) is a Japanese football player .
1617,"Their most illustrious representative , Marshal Turenne , was born at Sedan on 11 September 1611 .","The most famous member of the family , Marshal Turenne , was born at Sedan on 11 September 1611 ."
1618,"Milton Conrad Schmidt ( born March 5 , 1918 ) is a former Canadian professional ice hockey centre , coach and general manager , mostly for the Boston Bruins of the National Hockey League .","Milton Conrad Schmidt ( born March 5 , 1918 in Kitchener , Ontario , Canada ) is a Canadian retired professional ice hockey centre , coach and general manager , mostly for the Boston Bruins of the National Hockey League ."
1619,The Beiyang Fleet was the dominant navy in East Asia before the first Sino-Japanese War .,"However , the Beiyang Fleet was the only fleet participated in the war ."
1620,"All four Galilean moons are bright enough that they could be sighted from Earth without a telescope , if they were farther away from Jupiter .","All four Galilean moons are bright enough that they could , if they were farther away from Jupiter , be seen without a telescope ."
1621,His most famous film performance is perhaps as the obdurate Amity Island mayor Larry Vaughn in the Steven Spielberg shark thriller Jaws .,His most famous movie roles is perhaps as the obdurate Amity Island mayor Larry Vaughn in the Steven Spielberg shark thriller Jaws .
1622,"She pushed for an international commission to oversee a purge of the police , an idea that was approved by the National Congress .",She pushed for an international commission to oversee a purge of the police . The National Congress of Honduras approved the idea .
1623,Many species have colorful patterning on the shell surface .,"Shaped , as the name suggests , like a cone , many species have colorful patterning on the shell surface ."
1624,"Walter Clarence `` Buck '' Taylor , III ( born May 13 , 1938 ) is an American actor best known for his role as gunsmith-turned-deputy Newly O'Brien in 174 episodes during the last eight seasons of CBS 's `` Gunsmoke '' television series ( 1967 -- 1975 ) .","Walter Clarence `` Buck '' Taylor , III ( born May 13 , 1938 ) is an American actor . He is best known for his role as gunsmith-turned-deputy Newly O'Brien in the CBS 's television series `` Gunsmoke '' ( 1967 -- 1975 ) ."
1625,"The Green Party of England and Wales ( GPEW ; ) is a left-wing , Green political party in England and Wales .",The Green Party of England and Wales is a green political party in England and Wales .
1626,They are the oldest established football team from London playing in the Premier League .,"The club plays in the Premier League , the top football league in England ."
1627,"Mafic lava , before cooling , has a low viscosity , in comparison to felsic lava , due to the lower silica content in mafic magma .","Mafic lava , before cooling , has a lower viscosity than felsic lava due to its lower silica content ."
1628,"The Exploited is a Scottish punk rock band from Edinburgh , Scotland , formed in 1979 .","The Exploited is a Scottish punk metal band . The band was formed in 1979 in Edinburgh , Scotland ."
1629,"The Korngolds held intellectual evenings at their home , where Meir was exposed to debates on Zionism , literature , women 's suffrage , trade unionism , and more .","The Korngolds held evening meetings at their home where Meir learned about the Jew 's desire for a country of their own , literature , women 's rights , trade unions and more ."
1630,"They reside in Lake Sherwood , California .","They live in Lake Sherwood , California ."
1631,"In 1999 , CEC Entertainment , Inc. bought out competitor `` Discovery Zone '' .","In 1999 , CEC Entertainment , Inc. the owners of Chuck E. Cheese , bought out their primary competitor , Discovery Zone ."
1632,"In July 2010 , Jenneke was in Australia 's team at the 2010 Singapore Youth Olympic Games , running the 100 m hurdles and the women 's medley relay .","In July 2010 , Jenneke was in Australia 's team at the 2010 Singapore Youth Olympic Games , running the 100 meter hurdles and the women 's medley relay ."
1633,"In those Olympics , Bermuda 's Katura Horton-Perinchief made history by becoming the first black female diver to compete in the Olympic Games .","In those Olympics , Bermuda 's Katura Horton-Perinchief made history by becoming the first black female diver in the Olympic Games ."
1634,"In 1973 , Presley was featured in the first globally broadcast concert via satellite , `` Aloha from Hawaii '' .","In 1973 , Presley was featured in the first globally broadcast concert ."
1635,"On November 12 , 2008 , Fox announced that MADtv 's 14th season would be its last .","On November 12 , 2008 , it was announced that their 14th season is the show 's last season ."
1636,"Its main base is Jinnah International Airport , Karachi .","Its main hub is Jinnah International Airport in Karachi , Pakistan ."
1637,"When it eventually does catch up , Cruithne will make a series of annual close approaches to the Earth and gravitationally exchange orbital energy with Earth ; this will alter Cruithne 's orbit by a little over half a million kilometres-while Earth 's orbit is altered by about 1.3 centimetres ( 0.51 in ) - so that its period of revolution around the Sun will then become slightly more than a year .","When it eventually does catch up , Cruithne will make a series of annual close approaches to the Earth and gravitationally exchange orbital energy with Earth ; this will alter Cruithne 's orbit by a little over half a million kilometres so that its period of revolution around the Sun will then become slightly more than a year ."
1638,An ongoing ( Feb. 2011 ) collaborative research project has `` the researchers ... confident that they can reach an agreement about where acoels fit in evolutionary history '' .,An ongoing collaborative research project has `` the researchers ... confident that they can reach an agreement about where acoels fit in evolutionary history '' .
1639,"Alexandre `` Alex '' Ménard-Burrows ( born April 11 , 1981 ) is a French-Canadian professional ice hockey right winger with the Vancouver Canucks of the National Hockey League ( NHL ) .","Alexandre Ménard-Burrows ( born April 11 , 1981 ) is a Canadian professional ice hockey winger with the Vancouver Canucks of the National Hockey League ( NHL ) ."
1640,"After the release of a promotional single , Glory to the Brave was released throughout Europe .","After the release of a promotional single , Glory to the Brave was released in Europe ."
1641,La Tardière is a commune in the Vendée department in the Pays de la Loire region in western France .,La Tardière is a commune . It is found in the region Pays de la Loire in the Vendée department in the west of France .
1642,"The 2010 WTA Tour calendar comprises the Grand Slam tournaments ( supervised by the International Tennis Federation ( ITF ) ) , the WTA Premier tournaments ( Premier Mandatory , Premier 5 and regular Premier ) , the WTA International tournaments , the Fed Cup ( organized by the ITF ) , and the year-end championships ( the Commonwealth Bank Tournament of Champions and the WTA Tour Championships ) .","The 2010 WTA Tour calendar comprises the Grand Slam tournaments ( organised by the International Tennis Federation ( ITF ) ) , the WTA Premier tournaments ( Premier Mandatory , Premier 5 and regular Premier ) , the WTA International tournaments , the Fed Cup ( organised by the ITF ) , and the year-end championships ( the Commonwealth Bank Tournament of Champions and the WTA Tour Championships ) ."
1643,"Benedito de Assis da Silva ( November 12 , 1952 -- July 6 , 2014 ) , commonly known as Assis was a Brazilian footballer who achieved notoriety playing for Fluminense .","Benedito de Assis da Silva ( November 11 , 1952 -- July 6 , 2014 ) , commonly known as Assis was a Brazilian footballer . He played for Fluminense ."
1644,"After it enters Piedmont , it passes through the city of Ivrea and a good part of Canavese , gets from its right hand the waters of the Chiusella and reaches the Po at Crescentino , a little downstream from Chivasso .","After it enters the Piedmont region , it passes through the city of Ivrea and a good part of Canavese , gets from its right hand the waters of the Chiusella and reaches the Po at Crescentino ."
1645,"The male is a red and black bird-of-paradise , with a yellow mantle on its neck , light green mouth , rich blue feet and two curved violet tail feathers .","The male is a red and black bird-of-paradise with a yellow mantle on its neck , a light-green mouth , blue feet and two curved violet tail feathers ."
1646,"A copy of the Finnish M31 Suomi magazine , the PPSh drum magazine holds 71 rounds .",The PPSh-41 drum magazine was a copy of the Finnish M31 Suomi magazine . It held 71 rounds .
1647,"Garfield was shot by Charles J. Guiteau at 9:30 am , less than four months into Garfield 's term as the 20th President of the United States .","Garfield was shot in the back by Charles J. Guiteau at about 9:30 am , less than four months into Garfield 's term as the 20th President of the United States ."
1648,The Model 1855 Springfield was a rifled musket used in the mid 19th century .,The Model 1855 Springfield was a rifled musket used in the mid-19th century .
1649,"This was in contrast to the attitude of the British Dublin Castle administration , which refused appeals from the Royal Irish Constabulary that the force be disarmed .","This was in contrast to the attitude of the British Dublin Castle administration , which refused appeals from the Royal Irish Constabulary that that force be disarmed ."
