#1 String,#2 String
"Yes, Dad?",Yes Dad?
A person with a skateboard is sitting on a bench.,A skateboarder is sitting.
A man climbs a flight of old wooden stairs on a building.,A man is climbing the stairs.
uh-huh yeah yeah i stay within i have to stay within it so i,Yeah I need to stay near it.
Several people standing around on a subway train.,Group of people riding on the subway.
Three men are working on a green bicycle.,Men are fixing a bicycle.
A guy and girl playing a board game on the floor.,A guy and girl playing a game
"A group of nine people viewing a city, from an observation point, while some take pictures.",A group of people view a city.
Three children watching the men working outside from the window.,The children are watching the men work.
"You know a great deal more than you're willing to admit."" Tuppence paused a moment to admire her own ingenuity, and then said softly: ""I shouldn't like to contradict you, Mr. Whittington.""",Tuppence thinks that Mr. Whittington knows a lot more than he's willing to admit.
The place was almost deserted.,The place was close to being empty.
"The techniques include fieldwork, ethnography, observation, and participant observation and have in common that an observer is physically present at a site, stays at the site for a fairly long time, has flexibility in deciding what data to collect from whom and under what circumstances, and can organize the inquiry according to the meaning of events to the participants rather than having to decide beforehand",Fieldwork and ethnography are techniques that require an observer physically present.
"You have 69 lived for two years with Miss Dufferin, The Parsonage, Llanelly, and Mrs. Vandemeyer can apply to her for a reference.",You can use Miss Dufferin as a reference since you lived with her.
"Scheck, commentators agree, poked huge holes in the prosecution's claim that Woodward shook the baby and then dashed his head against a hard object.",Commentators agree that Sheck was able to poke huge holes in the prosecution's claim that Woodward violently shook the baby and slammed its head against a hard object.
oh did you are you on L O A,You're on LOA?
Without a proper defense it will be bloodshed in the street.,It will be bloodshed in the street without proper defense.
Four young children pose in formally for an informal picture.,Some children are taking a picture
yeah and he and he does miss a lot of work,"Yes, he also misses quite a bit of work."
"It does, however, explain the similarities and differences among the six kinds of case study and discusses ideas for successfully designing them.",It effectively compares and contrasts the six kinds of case studies.
A group of young men wrestle with each other wielding a floppy toy sword.,A group of men are playing.
A boy is diving into water with boats in background.,A boy is diving into water.
Two young boys are given some help digging their hole in the beach by an adult.,two young boys and an adult are playing in the sand.
The publication says female residents wake in the middle of the night when they feel the late Ozzie nuzzling their necks.,Female residents wake in the middle of the night when they fell the late Ozzie nuzzling their necks.
A boy in a wet red shirt gives water to a turtle while a boy dressed like Spider man and others look on.,Two little kids near an animal.
what to do with the money that you save,What have you done with the money that you've saved?
you know especially if you get forget to record those little suckers,It's common to not record the tiny things.
A short distance from the cathedral on High Street are the two St. Audoen's Churches.,The two churches are just a short distance from the cathedral.
A woman walks and a little boy walks to the side of her.,The boy is next to the woman.
A construction worker trying to control traffic in one of the busiest construction sites.,The construction worker is directing traffic.
Customs also anticipated attrition among its staff and a loss of valuable expertise due to that attrition.,The customs department knew some staff would leave.
A barefoot guy with a striped shirt and green pants is pulling on a white piece of fabric.,A barefoot guy with a striped shirt.
A man and a dog are playing in a field,A man and a dog are playing.
A man with white hair walking down the sidewalk.,A man is walking
uh i can see some some potential changes that probably are are would not cost very much but might uh make things a little easier such as offering a a smorgasbord,"I can see some potential changes, that might not cost much, but still help."
"Say, he observed thoughtfully, ""did you ever make a darned fool of yourself over a girl's face?"" Tommy, after a moment's astonishment, searched his mind.",Tommy was surprised for a little bit after asking a question.
One girl is playing a recorder and another girl is playing the guitar.,there are two girls
yeah yeah well and thread,"Yes, and thread."
a man a woman and a child sitting on a couch smiling,There are at least three people on a couch.
Fear of stigmatization gave rise to federal regulations and laws protecting information related to substance abuse.,Federal regulations were written related to substance abuse.
You can't get four years out of the equation even if you use Washington fuzzy math!,You can't make the equation equal four years.
A man on a megaphone protesting with three kids in the back.,A man is protesting.
"He felt that it would be a pity to come round too soon; and until the pain in his head became a little less acute, he felt quite incapable of collecting his wits.",He felt unable to think clearly with his aching head.
yeah well what about a voluntary program do you think that would be a good idea,Do you think a voluntary program is a good idea?
A man in a gray pullover and pink pants wears a rose on his head while eating dinner with others at a restaurant.,"A man eating dinner with some people at a restaurant wears a rose on his head, a gray pullover, and pink pants."
"The major shopping street is Princes Street, considered the Oxford Street of Scotland.",Princes Street is the main shopping street in Scotland.
An unhappy looking child lays in the grass at a park.,A child is sad.
Two little boys are playing with toys.,Toys are being played with.
A skier is airborne in front of a tree.,A person is skiing.
But prophecy is always strongest when based on coincidence--that is a prime rule.,A principal rule is that prophecies derived from coincidence are the strongest.
estimated demand and supply equations for agricultural commodities produced in the United States.,Demand and supply equations exist for agriculture within the US.
and we're we're in the process of doing that right now and,We have started the process.
Two children play beneath a metal statue.,The two children play beneath a statue.
"Why not, my friend?",Why do you not want to?
um flavorful piece of fish yeah,Indeed it is a fish full of flavor.
many birds sit on a ledge.,Birds sit outdoors
A group of children outside a building includes a boy jumping in the grass.,Kids play outside.
Nine black and brown pugs in harnesses playing on a grassy lawn.,The dogs are outdoors.
"The situation will be like that in a cabaret, where you cannot sit down at a table and watch the show without paying something.",The situation called for payments for viewing.
An elderly man playing a drum.,A man is playing a drum.
"The players, main and line referees, and the audience members in the first five rows had to wear surgical masks during the game, and each unsuitable or already used puck would be disposed in special bio-hazard waste containers commissioned by the Federation for specifically this purpose, and designed and produced by the Beoning company.",The players wore masks.
A woman wearing a red and pink garment is making pottery out of clay on the ground with no shoes on.,A barefoot woman is creating something.
Woman with child laughs by the shoreline.,Two people stand near the shoreline.
A man with a hat on walking in the sand.,A man is wearing a hat.
"If Bush had felt a need to triangulate against the cultural right, he could have joined others in repudiating Pat Buchanan for questioning the wisdom of American intervention against Nazi Germany.",Buchanan questioned the soundness of America's intervention against Nazi Germany.
Communism was a large smothering blanket thrown across societies and suppressing primordial identities.,Communism smothered societies and suppressed primordial identities.
Ideas from both attendees and staff for additional follow-up,There are ideas from both sides.
and they recommend that i keep the blade very high s o because it's that high i have to do it frequently as well i try to do it every uh uh six or seven days if,"It is suggested I maintain the blade very high, requiring me to do it often about every six or seven days."
"Upper Egypt was the heartland of the Kingdom at the peak of its power and influence, and the remains of its ancient cities form one of the most important and breathtaking archaeological collections in the world.",There are remains of ancient cities in Upper Egypt.
An old man wearing gray sleeps in a small chair.,An old man is sleeping.
Flowers are behind the fluffy dog that is coming up the step.,A dog is going up stairs.
A man at a skate park is doing an ollie out of a bowl near a beach.,A man in a skate park is doing an ollie in a half-pipe near the beach
Three people stand outside a fast food joint with their drinks.,a few people hang out drinking outside
Two workers in reflective vests are taking a break and sitting down.,The workers are taking a break and sitting down.
A woman with headphones is walking across the street.,A woman walking outside.
A production readiness review identified the lack of statistical process control as a major weakness that needs to be corrected.,A production readiness review was conducted.
We are alien to them and unwanted.,The people do not fit in.
"Less confidence in exact magnitudes reported, more confidence in trends",Confidence in magnitudes reported can be inversely correlated to confidence in trends.
Two people are standing along the side of the road looking into the distance.,Two people are near a road.
A middle eastern man walking across a street.,A man walking across a street.
"Sir James and his young friends had been paying a call upon her, when she was suddenly stricken down and they had spent the night in the flat, not liking to leave her alone.",Sir James was there when she got sick and he stayed the night.
"Stand on either of the circular paving stones set between the square's twin 17th-century fountains and the red granite Egyptian obelisk to appreciate the harmony of the quadruple rows of Doric columns, so perfectly aligned that they seem like a single row.",The four rows of Doric columns are in astoundingly straight rows.
Effective implementation of the Results Act hinges on agenciesa ability to produce meaningfully integrated information to manage performance and measure results.,Agencies must produce meaningful information to manage performance and measure results.
A lady in a black jacket pushing a red cart.,The lady is pushing a cart.
Three people climbing rocks.,The people are rock climbers.
"A man at the beach holding a pail, standing next to a child.",A man and child are outside.
"Across the street from the moat entrance to the Cityel is Christ Church, the first Anglican church built in the Middle East (1849).",Christ Church was the first Anglican church in the Middle East.
Two boys are playing in the water near an old building and a boat.,Two boys are playing in water.
But he sees clearly that everything must be risked for the sake of that damning piece of evidence.,The evidence was crucial in the case.
Two boys try to attach fruits to a bicycle on a dirt road.,Two boys on a dirt road.
A boy with a hat in a cage-style outdoor gym.,A boy in a hat is at the outdoor gym.
The interior could not be more in contrast to the vast exterior.,The interior and the exterior are very different.
A motorcycle racer is riding a black motorcycle.,The person is riding the motorcycle.
Two men participate in a recreation of a medieval sword fight while a crowd watches.,A crowd watches as two men act out a medieval sword fight.
Pay must be good.,It ought to be profitable.
"Since 1993, the PNP has once again been in power, this time under the leadership of Prime Minister Percival Patterson.",The PNP gained political power back in 1993.
A woman leads three little boys in soccer uniforms.,There is a person leading three boys
A crowd of people are looking at books on tables.,A group looks at books.
it's hard to say though i,It's tough to say.
A man is walking outside while a airplane flies by.,The man is outdoors.
"A woman in a brown dress sits on the lap of man, next to two women.",A woman sits on a man's lap.
The old man is taking a stroll.,An old man walks
"The walls were filthily dirty, as everywhere else.",Everywhere you looked you could see grime and dirt.
This is stuff that defies analysis.,This type of stuff defies analysis.
on on credit cards and uh i i had recently had some dealings with a fellow that they had run up he was making oh considered a modest salary for an engineer and he had run up uh more than a years salary in in various debts to and he wound up declaring bankruptcy but there it it's hard to believe that you'd run up twenty thirty thousand dollars of uh well it was a combination of things he had uh there were,I dealt with a guy that made enough money but had a lot of debt.
"Three men sit, and one man stands, on the back of a vehicle.",There are four people in the back of a vehicle.
A dog is standing on two legs inside a pool and man is nearby looking at the design.,The dog stands on two legs.
"A man holding a rod with a paintbrush attached, painting a billboard.",A guy paints an advertisement.
"Eventually, we tracked the bug down to one single line of code that failed because it assumed all graphics cards are created equal.",We finally found a piece of erroneous code that suffered from false assumptions.
A young boy in school uses scissors to cut paper.,A boy cuts paper with a pair of scissors.
yeah they had a program on the other day about people that were addicted to soap operas,I watched a programme about people who were addicted to soap operas.
Peace with Spain in 1411 prompted Portugal to seek overseas conquests.,"Portugal was convinced that because there was peace in Spain, overseas conquests in 1411 would be a good idea."
Stay here!,Don't leave!
A man in a blue striped shirt and white pants stands behind two doors.,A man in blue striped shirt stands behind two doors.
An off road vehicle driving through a mud puddle.,The vehicle is driving through the mud.
After being thrown in the air a young man dressed in a blue t-shirt and black shorts is getting ready to be caught by other young men in the same type of t-shirt and black shorts in a gym with Softball Championship Banners hanging high in the background.,A man was thrown in the air.
A man in a suit is talking in front of a camera.,A man is being filmed.
"Two students try to walk a tightrope on a campus quad, but one falls off.",Someone falls from a tightrope.
A dog sniffs the grass.,The dog is outside.
People are walking outside in the rain.,There are humans outdoors under rainfall.
"But the bourgeoisie, fearing both the royalists and their foreign backers, turned for salvation to a Corsican soldier triumphantly campaigning against the Rev?­o?­lution's foreign enemies ' Napoleon Bonaparte.",Napoleon Bonaparte was the cause for great fear among the people.
Five women are practicing bow and arrow skills indoors.,Five women are practicing to shoot their bow and arrow.
"There's no expert in the world who could, without knowing its source, say for certain that [the piece] is not [by] Mozart, Cope boasted to Britain's New Scientist . Although Cope grants that his artificial intelligence algorithms may not produce masterpieces, he promises the result is at least better than Salieri.","Cope agrees that his algorithms may not produce the best works, but they will be better than other human composers."
Two girls in white dresses holding hands and leaning on each another while standing on the shoreline of a calm sea.,The girls are leaning on each other by the sea.
no well they have it at six and they have it at nine,They have it at two times; six and nine.
An ice skater is performing an ice skating routine.,Someone is ice skating.
A shirtless got in blue pants is being chased by a girl in a black shirt.,The girl is being chased.
People walking in a city outside of a McDonalds.,Some people are outside of a fast food restaurant.
What makes a late abortion disturbing is that the fetus is big now--like a fully formed child.,Late term abortions are disturbing because it's like aborting a fully developed child
"For all their ardent nationalism, Calettans retain a strong, if sometimes sardonic, attachment to things British; in particular they have an affection for the English language, which you'll find spoken here with the most British of accents and often with a good deal more style and elegance than the British themselves can muster.",There is a noticeable current of Anglophilia running through Calettan culture.
"Three male students, one in red peering through a microscope.",Three boys are looking into a science instrument.
A man in a white shirt jumps a metal pipe barricade.,A man jumps over a pipe.
A man wearing a reflective vest sits on the sidewalk and holds up pamphlets with bicycles on the cover.,There were many pamphlets available.
A baby crying in an older man's hands.,A man is holding his crying baby.
A strange man looks unsure of what he is doing near a washing machine.,a man is near a washing machine
But defending the right to discriminate against gays is no longer a sure winner for them.,People are upset when they try to discriminate against gays.
Youth soccer game on a sunny day kids looking around,Some kids are playing soccer.
"Singapore is generally viewed as a better location for bargain prices on computers, tape-recorders, video cameras, and other electronic equipment.",You can get good prices for electronic equipment in Singapore.
"I have a question to ask you?""",May I make an inquiry?
The Alabama State Bar Volunteer Lawyers Program helps the state to some extent.,To a certain degree the Alabama State Bar Volunteer Lawyers Program helps the state.
well i have i have i have been in the military so i'm well aware of the Public Palace yes,I am aware of Public Palace due to my time in the military.
"'We do the work in the fields because we don't have a lot of education, and in this country you need to have an education to have a good job.",Lack of education has limited our career options.
The agency has a $38.,The agency is in possession of $38.
An old man wearing glasses speaking in front of a podium.,There is a man with glasses.
"A young Asian woman wearing tan boots, a floral skirt and a black jacket is walking down the street holding a camera, a brown purse, a gray bag and pink scarf.",a woman wears boots
well now see that's a good question i that's i don't know how Oakland's going to react to being uh swept in the World Series last year they could very easily uh take that as a challenge which is the way most teams naturally you know naturally do uh and and just go out and and not give anybody a chance to beat them so,I am not sure how Oakland will play after losing the World Series last year.
An elderly couple is watching a young woman interact with her baby.,The old couple is babysitting.
"A group of five people, four with violins, one with a clarinet, play music.",A group of people are playing music with instruments.
A young man asleep on the job.,A young man is sleepin
Fewer books are written.,There are not as many books written.
A elderly man standing at the counter of an establishment.,The man is not at home.
A dog is rubbing its face in the snow.,It is cold outside.
A woman practices weaving on a traditional loom.,A women is making something
Four firefighters are outside placing a water hose in a nearby building.,"In a nearby building, four firefighters are readying a water hose"
"A little pun in his Nobel lecture appears to gloss over, and even celebrate, the privations of  In the Antilles poverty is poetry with a 'v,' une vie , a condition of life as well as of imagination.",He gave  a Nobel lecture.
Fans cheer and wave flags for the vancouver whitecaps soccer team.,Fans cheer at a soccer game.
Dijon is a good city for walking and exploring by yourself.,Dijon is suitable for looking around on your own.
"Overlooking the street is the Hawa Mahal, literally the Wind Palace, but actually a rather grand, five-storied royal box, in which the ladies could sit and watch festive processions.","Ladies watched festive processions passing by from the Hawa Mahal, a five-story royal box."
A woman and young child stand on the beach next to an ocean filled with sailboats.,A woman and child are at the beach.
A shirtless man is standing next to two children balancing on a swing.,Two children are swinging outdoors.
A man in a blue hat and blue striped shirt is driving a blue car.,The man in the blue hat is driving outdoors.
Modern historians' version is rather less Jimmu was probably a pirate from Okinawa who settled in Kyushu before launching his campaign to conquer Honshu.,Jimmu was likely a pirate.
A dog shows his teeth while playing with another dog.,The dog has its mouth open.
A young male is sipping on a juice.,The guy is drinking juice.
George W. Bush criticized congressional Republicans.,Bush criticized  congressional republicans.
"The plate with the cheeseburger has a knife, fork,and spoon, while the plate with the club sandwich does not.",There is a knife near the cheeseburger
A person is standing in the middle of the desert looks tiny.,A person is in the desert.
Ear-itation,Unpleasant to the ears.
Two men in suits under an umbrella and in front of graffiti.,The men in suits are walking passed graffti with an umbrella.
A man in a suit sits talking into a microphone.,A well-dressed man is saying words into a microphone.
"Oh, pretty much what I expected.",It's what I expected.
A small child in a light tan jacket stands on the edge of a short wall.,The child is standing on a wall
A woman is predicting the future of someone by palm reading.,The woman is at work.
"Naples is where pizza began (the region is the nation's number one supplier of mozzarella), and flavorful home-cooking of fresh ingredients has been raised to an art form.",Pizza originates from Naples and the city has honed the skill of using fresh ingredients in home-cooking.
A male and female snowboarder pose for the camera in snow.,Two people pose.
Group of people gathered out on the streets near a display of bicycles.,The people are near the bicycles
Woman in sunglasses with a man leaning on her bare shoulder.,A couple posing for a picture outside.
uh The Ninja is of course The Ninja and the Michael are you know one and two of the volumes and then he went off and wrote uh The Gem Zero and The French Kiss and several others and The White Ninja has just hit paperback i understand,He wrote the White Ninja and other titles including The French Kiss.
Three boys hold inflated bicycle tire rings on a dusty trail.,Three boys are carrying bike parts.
A group of children are sitting and standing in a building with a red floor.,The kids are indoors.
Two men and two women are preparing a large meal in the kitchen.,two guys and a pair of ladies are in the kithchen readying a meal
Two women are looking at something on a street where many other people are as well.,There is something on the street.
A young woman dressed up gothic lolita style for a convention event.,The woman put on her gothic clothing and make up.
A man in blue handles a fishing net on a boat.,A man fishes on a boat.
This decision point used the knowledge captured as exit criteria for moving to the next phase of development.,Knowledge from the decision point helped the move to the next phase of development.
yeah  so you know trying to budget is again you know at this point we're trying to budget enough so we can,Right now we are trying to budget enough.
A cowboy in a black hat holds on to a black and white bull as it begins to buck him off of its back.,The cowboy held onto the crazy bull.
"Thomas' opinion is part of an increasingly popular line among conservatives that the best campaign reform would be to repeal the old rules, not to pass new ones.",Thomas thinks that new rules among conservative campaigns are counterproductive.
yes when he goes to the doctor the first time,This is when he will initially visit the doctor.
A man wearing a hat and gloves is using a tool to chisel wood.,A man dressed in a cap and gloves carves wood with a chisel
"But the screenwriter, Simon Beaufoy ( The Full Monty ), has a thing about bringing macho men down to earth with a thud.",Simon Beaufoy has written screenplays featuring macho men being abased.
Gauve was outside with Ca'daan.,Ca'daan was outside.
Farmer's selling preserves out of a van.,Farmer's selling preserves out of a van.
so we wound up selling it and it's been about uh i'd say eleven years uh since we got back into boating now they are big enough to,It has been eleven years since we sold it and we have now got back into boating.
You shall tell us all that you know.,Ýou are going to tell us everything.
i think this must be into my third week too so do you work for TI,I think I've already been here for three weeks.
"These observations apply, though in somewhat altered form, even since the",The observations are slightly altered but still apply.
"Just 20 years ago, young blacks and young whites smoked in equal percentages.",There were equal amounts of young blacks and young whites that smoked as recently as 20 years ago.
People behind a banner are holding flags and signs.,There are people gathered.
A black dog sticking its nose into the water.,A black dog has water on its nose.
"Jon swung, stabbed, riposted, and kicked.","With swinging arms and kicking legs, Jon riposted and stabbed with his weapon."
The magazines run identical cover photos ( U.S.,The magazines display photos on their front covers.
Small group of people on a stage playing different instruments while a crowd sits and watches.,People are on stage playing instruments.
A black dog and tan dog run towards each other on a beach.,Two dogs running on a beach.
"Three women walk down a city street, as seen from above.",Three women are outside
"An important element of the overall control technology implementation is the time needed to connect, or hook up, the control technology equipment to the combustion unit.",The time needed to connect control technology to a unit is an important element.
A man wearing a raincoat and a white hat is sweeping outside on wet brick floors.,A guy is sweeping outside on the wet brick floors while wearing a raincoat and a white hat.
A man and woman are waiting for their food at a restaurant.,A man and woman are waiting for food.
A man with a bike jumps high above the concrete.,A man with a bike is jumping.
A cement truck driver is smiling out the window of his truck.,A driver is smiling.
an older female checking her watch.,She can clearly see what time it is.
a little girl in a blue and pink leotard is walking along a beam whilst a person's hand is stretched out to support her.,The girl needs support to walk on the beam.
A rodeo rider being thrown headfirst from a horse.,A man is riding a horse.
Heavily promote the collected Edmund Wilson-Paula Barbieri letters.,The Edmund Wilson-Paula Barbieri letters are pushed a lot.
Woman in black outfit walking down street.,The woman is walking outside.
A black and white bird getting ready to land on the water.,Flying bird prepares to land.
A band of young men playing in front of a group of people with their hands raised in a room with colored lights in the background.,A band of young men plays in a club.
"Finally, FSIS considered the comments of several state government officials that the rule imposed an unfunded mandate on State inspection programs because of the need for these programs to remain at least equal to the Federal inspection program.",Several states complained that the rule imposed an unfunded mandate on their inspection programs.
is running them from here to there in the car,Are you going here to there in the car?
"The Shopping Avenger made contact with Hogsten via e-mail and learned that her wiener dog, whose name is Rusty, was traumatized by these events, though not as much as Hogsten was traumatized by these events.",Rusty was traumatized by these events.
"Two young men, one in black and one in red, jogging.",Two men are running.
so that's just you know i just i i i just really enjoy it and i hate to here see people gripe and moan about doing uh yard work what about trees do you have any trees around,I enjoy that.
A blond-haired boy in his pajamas sits on a red chair next to a black guitar and looks at a book.,The blonde boy sat next to the guitar and book.
"In the Internet world, where content--even good content--is proliferating rapidly, a very good filter will be needed to sort out what interests you from what doesn't.",A good filter is needed to sort out what interests you on the internet.
Two women examine carrots at an outdoor market.,The two women are shopping
A man gets dirty while sculpting a pot out of clay.,A man is dirty.
"Shimoda, at the southern tip of the peninsula, is famous in still another historical context.",There is another historical frame which Shimoda is known for.
A group of young women and men in exotic costumes perform a dance.,Some people are performing.
Experiencing just nine of them will give an impression of the whole.,Visitors can get a good understanding of the whole by seeing only nine of them.
A man is sitting at a table in a clothing store.,There is a man sitting at a table in a clothing store
A blond woman is writing on a piece of paper.,A woman uses a piece of paper to write something down.
A young tattooed man in shorts and flip-flops on a cellphone.,A man talks on a cellphone.
The Government said nothing.,The government was silent.
A dog on a leash puts his front paws on a bar.,A dog lifting its front legs.
A young child wearing a pink coat is sitting and holding a shoe.,The child is wearing pink
A man carries a little boy down a water slide and makes a big splash.,a man holds a boy and goes down a water slide
So I am going to conclude my remarks today by offering you some guidance as you give thought to launching your own planning initiative.,I can guide you in creating your own planning initiative.
plus you know you you want to think that that you're working with people who are not only putting out their fair share,You want to believe that everyone you work with is pulling their weight.
and uh um yeah and they understand our the our process,The process is understood by them.
yeah yeah oh oh sure one of them was grown up and was Chief of Police here,There is a Chief of Police here.
Reed says the San Antonio center fields calls on a number of legal problems.,There are calls about a lot of legal problems to the center.
"By the mid-17th century the Ottoman Empire had reached its greatest extent, stretching from Batumi at the eastern end of the Black Sea to Algeria, taking in Mesopotamia, Palestine, the shores of the Red Sea (including Mecca and Medina), Egypt, Anatolia, Greece, the Balkans, Hungary, Moldavia, the North African coast, the Crimea, and southern Ukraine.","The Ottoman Empire ruled many areas of North Africa, South-Eastern Europe and the Middle East in the 17th century."
A group of women in matching outfits and hats talk to a pair of policemen.,There are people talking to the police
Two children playing in public fountains,Kids playing in water.
A group of children in the water holding up a blond boy in red swim shorts.,They are swiming.
"Seems like th' kid got an idear to scout north, struck trace near th' Long Canyon, rode th' sign on his own an' was bushwacked.",The kid got bushwacked while scouting up north.
Ca'daan took them through the alleys behind the shops and untied the intricate five-lace knot that held the door closed.,Ca'daan untied the knot.
An older lady blowing out a 9 and a 0 number candles on a birthday cake.,there are two candles on the birthday cake
A dark-skinned man is wearing a police outfit.,Dark person is wearing police attire
Students inside a classroom taking notes.,they are in class
but really huge sharks are down there i mean,The sharks there can get really big.
"After considering the results of DWP's review and its evaluation of those results, NAO qualified its fiscal year 1995 through fiscal year 2000 opinions on DWP's financial statements because of the amount of fraud and error in the benefit programs.",There was some fraud and error in the DWP's benefit programs.
"A smiling young child runs through the fountain that comes out of the ground in the city, while folks watch him run through the water.",A smiling child runs througn a floor fountain in a city as other people around him watch outside.
"1 Specifically, weaknesses such as poor controls over access to data and inadequate disaster recovery plans increased the risk of losses, inappropriate disclosures, and disruptions in service associated with the enormous amounts of electronically maintained information essential for delivering federal services and assessing the success of federal programs.",There are weakness that are specifically associated with poor controls.
"A balding man is waving for the camera as he is seated in a large vehicle with several people dressed in coats, hats and other winter clothing.",A person waving
Ricardo Santos,The man is named Ricardo Santos.
Construction workers are working in a tunnel.,The people are working in a tunnel.
"A man playing a keyboard, he has a beard and is wearing a red, green and black flannel shirt.",The man is using a musical instrument
man oh man i have to say uh Chevy Chase uh Christmas you know the Vacation Christmas,Chevy Chase was in Christmas Vacation.
"A woman and a boy are in a parking lot, he is riding a bike and carrying a shovel while she is pulling a laundry basket on a furniture dolly.",a woman and a boy are riding around and pulling a basket behind them
A musician takes center stage to embrace the beauty of his divine talent.,A musician preforming on stage
A woman in a gray shirt and blue jean shorts is looking at dishes.,The woman is wearing shorts.
There are 6 women forming a pyramid inside of a bedroom.,There are several women in the bedroom.
Three women walk by an office building.,Three women stroll by an office.
a guy on street watching someone.,The person is male.
"No, can you?","I can't, can you?"
"The agency can't really ensure their client's behavior, but you would know that it had done its very best to choose only well-behaved children.",The agency only chose well-behaved kids.
The obituary is for God.,The obituary was written for God.
A little girl is looking a microscope while wearing a pink furry jacket.,eccentrically dressed little girl looking at microscope
Man look through a telescope in a city.,A man is looking through a telescope.
A man wearing a coat is leaned against wall drinking from a white cup.,A man has a white cup.
"The owner will feign amazement at such an insultingly low price, and discourse at length on the quality of the work, but will eventually suggest a lower price.",The owner will eventually suggest a lower price.
A man falling over in an ocean wave,A man falling over in the ocean.
"Mrs. Vandemeyer gave a sharp impatient exclamation, and jerked the girl to her knees.",Mrs. Vandemeyer is not a very patient woman.
"A small girl covering her eyes in a yellow shirt, outdoors.",A girl is outside.
"Isn't that America's last bastion of mobsters, racists, and hacks?","Isn't is America's last wave of mobsters, racists and hacks?"
"Cityus also travels to Guangzhou from CHKC; there are five round-trips a day, taking 31/2 hours.",There are five round-trips per day from CHKC to Guangzhou.
To determine if the acquisition team has theAudit Objective necessary skills and authority to effectively plan and execute the acquisition.,Seeing if they have the skills to plan and execute the acquisition.
Some of the last of the Trotskyites have been on this bus.,"On this bus, some of the last Trotskyites have been."
A person in a white shirt dark blue shorts playing tennis.,A tennis player wearing shorts.
"Unable to afford a professional slogan, something hip and hot and happenin' (Do the kids still say happenin' with the apostrophe and all, or is there some swingin' new punctuation?)","Do people still say ""hip and hot and happenin'?"""
"In 1807 Parliament made the trade in slaves illegal, but the powerful sugar lobby exerted pressure and slavery continued on the plantations.",Slavery was rampant on plantations despite it being outlawed in 1807 by Parliament.
well i guess we were supposed to be talking about the weather but that's,We need to be mentioning the weather however.
"Table 1, line 6 shows that under a domestic postage-based system, the U.S.",The sixth line of the first table.
Two men are lifting a sheet of glass that has a blue piece of equipment attached to it.,Men lifting a sheet of glass.
"In addition, in prior analyses EPA has identified valuation of mortality benefits as the largest contributor to the range of uncertainty in monetized",The EPA has stated that the largest contributor to monetize is mortality benefits.
Its success led to its adoption by,It was incorporated after seeing major success
A small baby girl looking outside of the storefront window while she plays with her toys.,A girl is playing with toys.
A smiling boy with a blue sweatshirt and camouflage shorts on a metal slide in the grass.,A smiling boy is in the grass.
"A graduate of New England School of Law, Levesh, 47, has been a staff attorney for legal service organizations for 16 years.",Levesh graduated from New England School of Law and later served as a staff attorney for 16 years.
Philae Temple was known as the Pearl of Egypt for its beauty and picturesque setting.,The Philae Temple was christened the Pearl of Egypt because of its picturesque setting.
"Good morning, he said briskly and cheerfully.",The man was happy in saying good morning.
A brown and black dog is trying to catch a red ball in its mouth.,A dog tries to catch a ball.
A woman at a beech with a bike.,The woman has a bike.
"This, we trust, will effectually silence the sensational rumours which still persist.","We trust this will put an end to the persistent, sensational rumors."
"And I'd like to put faith in you, but...who knows? Maybe they told you to tell me all this.'","I'd like to trust you, but I'm not sure? They could have made you tell me this."
A group of people in casual clothing stand along a fence in a city.,There are people by a fence.
it you know the girls can learn things in school about everything that is temporary but as far as really knowing the earth there's no other way to really learn it but to experience it,The earth must be experienced to really learn it.
"Three street performers, showing off their extraordinary instruments.",Performers showing off their instruments.
"Before being given the crosein the courtyard, Jesus was presented to the people by Pilate, who said Behold the man!",Jesus was shown to people by Pilate before being given a cross.
A man is standing next to a trashcan.,A man is standing upright.
People attend a gathering at a house.,They are at a home.
A woman in a white dress climbs a scaffold that looks like a trapeze.,A woman climbs a scaffold.
The view of a few buildings.,The view of some buildings.
An elderly woman with a headscarf and glasses is standing in a city.,An old woman is in a city.
Goal attempt during a soccer game being played on green grass.,An outdoor soccer game is taking place.
"The two men watched for a moment, then picked up their apparatus and turned to go.",The men merely glanced before picking up their things.
This elevated structure's projecting wooden terrace is supported by a vast arrangement of 139 massive interlocking beams.,"Over 100 large, interlocking beams are carefully arranged to support the wooden terrace jutting out."
The embrace was brief and traumatic.,It was not long but enough to leave emotional damage.
"The moral strength of his non-violent philosophy was immediately tested in the Punjab, where the hartal erupted into riots.","When the hartal erupted into riots in the Punjab, the moral strength of his non-violent philosophy was put under intense scrutiny"
A child crouches at the top of a reflective playground slide.,The child was on the playground equipment.
2) The study is flawed because it didn't include men.,"The study did not include men, therefore it is flawed."
A singer on a smoke filled stage in front of an audience.,A person is on stage.
A man in a jumpsuit stands next to the wall.,A still human.
and so he we have a lot of family here his side of the family and being when we were down in Houston we were isolated i mean it's not that far but people would have we didn't have anyone in town that was our family and although we had really good friends and and we had church and school support and things um,They didn't have any family in Houston.
A dog with black fur has put its head underwater.,The dog is in the water.
and i'm concerned that's just you know the beginning of it,I think we're only just through the looking glass.
